,hybrid,pure-gru,pure-lstm,pure-rnn
hybrid,1.0,0.0,1.2772866098131885e-09,3.256406255758293e-11
pure-gru,0.0,1.0,0.001550224231754438,0.010494461872076699
pure-lstm,1.2772866098131885e-09,0.001550224231754438,1.0,0.9486533265181889
pure-rnn,3.256406255758293e-11,0.010494461872076699,0.9486533265181889,1.0
