,hybrid,pure-gru,pure-lstm,pure-rnn
hybrid,1.0,0.0,1.9003429634345537e-06,2.1072610323358276e-09
pure-gru,0.0,1.0,1.2580797096317653e-06,0.00032799120493942624
pure-lstm,1.9003429634345537e-06,1.2580797096317653e-06,1.0,0.6509544281320939
pure-rnn,2.1072610323358276e-09,0.00032799120493942624,0.6509544281320939,1.0
