,hybrid,pure-gru,pure-lstm,pure-rnn
hybrid,1.0,1.0447198661722723e-13,9.134628720097737e-09,8.992806499463768e-15
pure-gru,1.0447198661722723e-13,1.0,0.3635052804121883,0.9896928666667072
pure-lstm,9.134628720097737e-09,0.3635052804121883,1.0,0.21274826117274737
pure-rnn,8.992806499463768e-15,0.9896928666667072,0.21274826117274737,1.0
