,hybrid,pure-gru,pure-lstm,pure-rnn
hybrid,1.0,0.0,0.00032799120493942624,4.259828997099646e-06
pure-gru,0.0,1.0,1.4646319712596778e-07,1.9937880155640464e-05
pure-lstm,0.00032799120493942624,1.4646319712596778e-07,1.0,0.7890108981473456
pure-rnn,4.259828997099646e-06,1.9937880155640464e-05,0.7890108981473456,1.0
