,hybrid,pure-gru,pure-lstm,pure-rnn
hybrid,1.0,5.946449355143102e-08,4.61069737944797e-10,0.18273884879835767
pure-gru,5.946449355143102e-08,1.0,0.8659775649526872,0.0011503611021139726
pure-lstm,4.61069737944797e-10,0.8659775649526872,1.0,4.162386268902196e-05
pure-rnn,0.18273884879835767,0.0011503611021139726,4.162386268902196e-05,1.0
